관광지명,Group1,Group1_tag,group1_1,group1_1_tag,group1_2,group1_2_tag,Group2,Group2_tag,group2_1,group2_1_tag,group2_2,group2_2_tag,Group3,Group3_tag,group3_1,group3_1_tag,group3_2,group3_2_tag,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag,Group5,Group5_tag,group5_1,group5_1_tag,group5_2,group5_2_tag
아이스뮤지엄,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '테마', '사계절', '어린이']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '테마', '어린이', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
아이존액트 볼링장,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '사계절']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
아침한의원 ,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,['관광'],1.0,['관광'],1.0,['관광'],1.0,['관광'],1.0,['관광'],0.0,,1.0,['관광'],1.0,['관광'],0.0,,0.0,
아쿠아플라넷 제주,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마', '사계절', '어린이', '안전']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마', '어린이', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
아프리카박물관,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '겨울', '안전']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '무장애', '문화', '박물관', '미술']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
앙데팡당,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['관광지', '관광']",1.0,"['관광', '관광지']",1.0,"['관광', '관광지']",1.0,"['관광', '관광지']",1.0,"['관광', '관광지']",0.0,,0.0,['관광'],0.0,,0.0,,0.0,
액티브파크,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마', '사계절', '어린이']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마', '어린이', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
약천사,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광', '문화']",0.0,['관광'],1.0,"['관광', '실내', '문화']",0.0,,0.0,,0.0,,0.0,,1.0,"['문화', '관광', '화관']",0.0,,1.0,['화관']
예술공간 이아,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,['카페'],1.0,['카페'],0.0,,0.0,,0.0,,0.0,,0.0,,1.0,['카페'],1.0,['카페'],0.0,
왈종미술관,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '겨울']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '무장애', '문화', '박물관', '미술']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
우포토 시네마 갤러리 카페,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['카페', '관광지', '관광']",1.0,"['카페', '관광', '관광지']",0.0,"['관광', '관광지']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
유민미술관,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '미술', '문화', '사계절']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '문화', '박물관', '미술', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
유캠프,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['관광지', '관광']",1.0,"['관광', '관광지']",1.0,"['관광', '관광지']",1.0,"['관광', '관광지']",1.0,"['관광', '관광지']",0.0,,0.0,['관광'],0.0,,0.0,,0.0,
이랜드뮤지엄,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마', '사계절']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
이편한치과,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,['관광'],1.0,['관광'],1.0,['관광'],1.0,['관광'],1.0,['관광'],0.0,,1.0,['관광'],1.0,['관광'],0.0,,0.0,
점보빌리지,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광', '무장애', '테마', '사계절', '어린이']",0.0,['관광'],1.0,"['관광', '실내', '무장애', '테마', '어린이', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제원한의원,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,['관광'],1.0,['관광'],1.0,['관광'],1.0,['관광'],1.0,['관광'],0.0,,1.0,['관광'],1.0,['관광'],0.0,,0.0,
제주 삼양동 유적,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '문화']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '문화']",0.0,,0.0,,0.0,,0.0,,1.0,"['문화', '유적지', '관광', '역사', '유적']",0.0,,0.0,
제주교육박물관,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '사계절']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '무장애', '문화', '박물관', '미술', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주국제공항,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주국제예술센터,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '미술', '사계절']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '박물관', '미술', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주국제평화센터,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '사계절']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '무장애', '박물관', '미술', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주대학교병원,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,['관광'],1.0,['관광'],1.0,['관광'],1.0,['관광'],1.0,['관광'],0.0,,1.0,['관광'],1.0,['관광'],0.0,,0.0,
제주도립김창열미술관,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '박물관', '미술', '문화']",0.0,"['관광', '관광지', '미술']",1.0,"['관광', '관광지', '실내', '문화', '박물관', '미술']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주문예회관,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광', '박물관', '미술', '문화', '사계절']",0.0,"['관광', '미술']",1.0,"['관광', '실내', '문화', '박물관', '미술', '사계절']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
제주미래교육연구원 과학탐구체험장,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,['어린이'],0.0,,1.0,['어린이'],1.0,['어린이'],1.0,['어린이'],1.0,['어린이'],0.0,,0.0,,0.0,,0.0,
제주별빛누리공원,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,"['실내', '관광지', '관광', '무장애', '테마', '어린이', '겨울']",0.0,"['관광', '관광지']",1.0,"['관광', '관광지', '실내', '무장애', '테마', '어린이']",0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
